l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
67,1736,79,3,5.0,8188.65,0.03,0.07,N,O,1997-02-20,1997-02-12,1997-02-21,DELIVER IN PERSON,TRUCK,. slyly final asymptotes maintai,1997
163,1208,9,2,13.0,14419.6,0.01,0.04,N,O,1997-11-11,1997-10-18,1997-12-07,DELIVER IN PERSON,TRUCK, orbits could have to are blithely ,1997
163,1927,72,4,5.0,9144.6,0.02,0.0,N,O,1997-11-17,1997-10-09,1997-12-05,DELIVER IN PERSON,TRUCK,s use furio,1997
163,1261,99,5,12.0,13947.12,0.1,0.0,N,O,1997-12-18,1997-10-26,1997-12-22,COLLECT COD,TRUCK,s wake theodolites. deposi,1997
288,1164,1,2,49.0,52192.84,0.08,0.05,N,O,1997-04-19,1997-05-19,1997-05-18,TAKE BACK RETURN,TRUCK,"the packages: regular, regu",1997
288,989,90,3,36.0,68039.28,0.02,0.02,N,O,1997-02-22,1997-05-07,1997-03-07,TAKE BACK RETURN,TRUCK,s nag slyly even,1997
387,964,33,3,40.0,74598.4,0.09,0.02,N,O,1997-03-08,1997-04-18,1997-03-31,COLLECT COD,TRUCK,asymptotes around the forges sleep blithel,1997
387,1484,24,5,32.0,44335.36,0.08,0.06,N,O,1997-05-02,1997-04-11,1997-05-11,DELIVER IN PERSON,TRUCK, unusual deposit,1997
455,273,74,2,44.0,51623.88,0.05,0.08,N,O,1997-01-17,1997-02-22,1997-02-12,TAKE BACK RETURN,TRUCK,ray furiously. carefully even foxes bo,1997
484,302,59,1,49.0,58912.7,0.1,0.02,N,O,1997-03-06,1997-02-28,1997-03-23,COLLECT COD,TRUCK,cial request,1997
484,320,5,2,45.0,54914.4,0.06,0.07,N,O,1997-04-09,1997-03-20,1997-04-19,DELIVER IN PERSON,TRUCK,eposits integrate at the furiously un,1997
485,280,35,2,40.0,47211.2,0.08,0.01,N,O,1997-04-29,1997-05-08,1997-04-30,TAKE BACK RETURN,TRUCK,ges haggle s,1997
485,1369,84,3,22.0,27947.92,0.0,0.05,N,O,1997-04-06,1997-04-27,1997-05-01,DELIVER IN PERSON,TRUCK," blithely regular requests. bold, even d",1997
517,1554,95,2,15.0,21833.25,0.02,0.0,N,O,1997-04-09,1997-06-26,1997-05-01,NONE,TRUCK,y. carefully ironic foxes s,1997
546,846,46,1,16.0,27949.44,0.08,0.02,N,O,1997-02-04,1996-12-30,1997-02-25,DELIVER IN PERSON,TRUCK,ding foxes! platelets haggle furio,1997
576,331,88,2,6.0,7387.98,0.06,0.05,N,O,1997-05-15,1997-07-26,1997-06-03,DELIVER IN PERSON,TRUCK,encies. carefully even accounts are,1997
581,750,15,4,30.0,49522.5,0.1,0.08,N,O,1997-06-19,1997-05-21,1997-06-22,TAKE BACK RETURN,TRUCK,ecial instructions; caref,1997
583,1444,45,1,1.0,1345.44,0.07,0.07,N,O,1997-06-17,1997-04-29,1997-06-28,NONE,TRUCK,ing accounts. carefully special de,1997
583,1886,16,5,13.0,23242.44,0.04,0.06,N,O,1997-06-23,1997-05-29,1997-07-08,COLLECT COD,TRUCK,equests along the slyly ,1997
675,993,96,4,15.0,28409.85,0.09,0.05,N,O,1997-10-18,1997-09-28,1997-11-13,COLLECT COD,TRUCK,tions. pending tithes ,1997
676,729,26,4,24.0,39113.28,0.01,0.06,N,O,1997-02-05,1997-01-16,1997-03-07,TAKE BACK RETURN,TRUCK,e accounts haggle,1997
676,1652,76,5,31.0,48163.15,0.01,0.06,N,O,1997-02-06,1997-02-28,1997-03-08,COLLECT COD,TRUCK,ully boldly final,1997
676,760,61,6,33.0,54805.08,0.09,0.05,N,O,1997-03-02,1997-02-22,1997-03-19,TAKE BACK RETURN,TRUCK, theodolites. carefully regular depos,1997
869,623,55,1,27.0,41137.74,0.07,0.07,N,O,1997-01-30,1997-02-17,1997-02-26,TAKE BACK RETURN,TRUCK,sly ironic pinto beans. ironic ideas cajo,1997
992,473,3,4,21.0,28842.87,0.06,0.06,N,O,1997-11-13,1997-12-28,1997-12-10,NONE,TRUCK,ronic requests haggle slyly b,1997
992,911,46,5,7.0,12683.37,0.09,0.05,N,O,1997-11-30,1997-12-24,1997-12-16,DELIVER IN PERSON,TRUCK,refully special platelets haggl,1997
997,1627,28,1,11.0,16814.82,0.0,0.02,N,O,1997-06-16,1997-07-21,1997-07-14,DELIVER IN PERSON,TRUCK,onic foxes. slyly silent a,1997
1026,369,26,2,6.0,7616.16,0.1,0.08,N,O,1997-07-07,1997-08-16,1997-07-14,TAKE BACK RETURN,TRUCK,"arefully even foxes wake express, regula",1997
1062,1361,62,1,38.0,47969.68,0.0,0.01,N,O,1997-01-27,1997-03-07,1997-02-16,DELIVER IN PERSON,TRUCK,ccounts haggle ca,1997
1121,1995,96,6,50.0,94849.5,0.06,0.03,N,O,1997-04-21,1997-02-16,1997-04-25,NONE,TRUCK,y final deposits across the i,1997
1122,3,54,7,38.0,34314.0,0.0,0.08,N,O,1997-01-23,1997-04-02,1997-02-16,NONE,TRUCK,its sleep slyly. quickly ruthless,1997
1156,112,91,3,29.0,29351.19,0.09,0.06,N,O,1997-01-24,1996-12-26,1997-02-04,DELIVER IN PERSON,TRUCK,"d, even pint",1997
1410,1082,53,3,37.0,36373.96,0.02,0.01,N,O,1997-04-17,1997-06-18,1997-04-19,COLLECT COD,TRUCK,gular pack,1997
1473,535,96,1,50.0,71776.5,0.04,0.03,N,O,1997-05-05,1997-05-20,1997-05-09,NONE,TRUCK,he dependencies! pending accounts about the,1997
1477,1191,28,7,33.0,36042.27,0.06,0.0,N,O,1997-11-12,1997-11-06,1997-11-24,DELIVER IN PERSON,TRUCK,ges cajole bl,1997
1574,541,72,3,25.0,36038.5,0.06,0.02,N,O,1997-01-16,1997-02-14,1997-02-12,DELIVER IN PERSON,TRUCK,ial theodolites int,1997
1606,1736,21,2,35.0,57320.55,0.0,0.02,N,O,1997-06-20,1997-06-19,1997-06-22,COLLECT COD,TRUCK,deas cajole f,1997
1606,963,98,4,20.0,37279.2,0.02,0.04,N,O,1997-05-01,1997-05-26,1997-05-28,TAKE BACK RETURN,TRUCK,re. even pa,1997
1636,841,41,1,2.0,3483.68,0.09,0.03,N,O,1997-09-26,1997-08-22,1997-10-05,NONE,TRUCK,"regular, final requests. express reques",1997
1636,630,62,6,34.0,52041.42,0.1,0.01,N,O,1997-08-11,1997-09-09,1997-08-23,NONE,TRUCK,olites. fu,1997
1668,10,86,2,25.0,22750.25,0.01,0.06,N,O,1997-08-08,1997-09-28,1997-09-01,NONE,TRUCK,uctions sleep ironic deposits; careful,1997
1668,100,26,6,38.0,38003.8,0.07,0.01,N,O,1997-08-26,1997-09-17,1997-09-05,DELIVER IN PERSON,TRUCK,es are slyly among the f,1997
1670,315,72,1,41.0,49827.71,0.07,0.01,N,O,1997-07-19,1997-08-20,1997-07-23,DELIVER IN PERSON,TRUCK," sleep express, special pi",1997
1698,206,34,3,22.0,24336.4,0.03,0.04,N,O,1997-08-07,1997-05-28,1997-08-24,DELIVER IN PERSON,TRUCK,e around the even hocke,1997
1766,1108,17,3,1.0,1009.1,0.1,0.02,N,O,1997-01-21,1997-01-07,1997-02-19,NONE,TRUCK,phins. quickly even accounts wake,1997
1859,1044,80,6,12.0,11340.48,0.08,0.03,N,O,1997-05-22,1997-06-08,1997-06-07,COLLECT COD,TRUCK,haggle carefully. accounts ,1997
1890,1808,52,6,16.0,27356.8,0.08,0.02,N,O,1997-02-13,1997-02-18,1997-03-12,TAKE BACK RETURN,TRUCK,latelets wake carefully along the pe,1997
1923,1831,18,5,25.0,43320.75,0.1,0.08,N,O,1997-08-18,1997-08-20,1997-09-12,DELIVER IN PERSON,TRUCK,ages. regular packages ,1997
1923,370,99,6,50.0,63518.5,0.03,0.03,N,O,1997-11-04,1997-08-08,1997-11-25,NONE,TRUCK,efully bold requests grow slyly about ,1997
1924,355,12,5,17.0,21340.95,0.04,0.05,N,O,1996-12-31,1996-11-12,1997-01-25,COLLECT COD,TRUCK,s shall boost regular requests. fluffily bo,1997
1954,1987,76,3,11.0,20778.78,0.07,0.07,N,O,1997-08-07,1997-07-23,1997-08-25,DELIVER IN PERSON,TRUCK, regular requests,1997
1954,1935,36,7,49.0,90009.57,0.05,0.06,N,O,1997-06-04,1997-08-29,1997-06-14,COLLECT COD,TRUCK,nstructions nag slyly among the pendin,1997
2112,701,2,1,18.0,28830.6,0.02,0.05,N,O,1997-05-02,1997-03-16,1997-05-25,TAKE BACK RETURN,TRUCK,"onic, unusual theodolites. unusual, reg",1997
2117,1468,69,5,3.0,4108.38,0.02,0.05,N,O,1997-05-05,1997-07-20,1997-05-26,TAKE BACK RETURN,TRUCK,ounts nag ,1997
2273,1611,35,5,18.0,27226.98,0.07,0.0,N,O,1996-12-16,1997-01-21,1997-01-03,COLLECT COD,TRUCK,kly quickly quick packages. regular ,1997
2273,195,96,7,7.0,7666.33,0.05,0.05,N,O,1997-02-19,1997-01-22,1997-02-21,TAKE BACK RETURN,TRUCK, silently ,1997
2375,465,95,3,26.0,35501.96,0.02,0.06,N,O,1997-03-18,1997-02-02,1997-03-29,TAKE BACK RETURN,TRUCK,ng the slyly ir,1997
2406,595,86,7,30.0,44867.7,0.07,0.07,N,O,1997-01-17,1997-01-12,1997-01-22,TAKE BACK RETURN,TRUCK,leep regular courts. q,1997
2469,1657,81,1,11.0,17145.15,0.0,0.04,N,O,1997-02-09,1997-01-26,1997-02-16,NONE,TRUCK,le furiously furious,1997
2469,1263,75,7,8.0,9314.08,0.02,0.0,N,O,1997-03-15,1997-01-20,1997-04-13,NONE,TRUCK,uickly reg,1997
2884,252,53,3,8.0,9218.0,0.08,0.08,N,O,1997-11-30,1997-11-28,1997-12-14,COLLECT COD,TRUCK,equests after the slyly,1997
2950,658,59,2,18.0,28055.7,0.1,0.01,N,O,1997-07-19,1997-08-29,1997-08-17,COLLECT COD,TRUCK,ly regular pinto b,1997
2950,1736,37,6,27.0,44218.71,0.01,0.03,N,O,1997-10-01,1997-09-13,1997-10-08,NONE,TRUCK,xes. quickly unusual packages cajole. ,1997
3009,449,8,1,48.0,64773.12,0.1,0.02,N,O,1997-03-19,1997-05-13,1997-04-11,TAKE BACK RETURN,TRUCK,"express gifts: bold, regular ",1997
3077,718,51,1,25.0,40467.75,0.06,0.01,N,O,1997-09-14,1997-10-16,1997-10-06,NONE,TRUCK,dinos wake c,1997
3077,779,44,3,13.0,21837.01,0.03,0.07,N,O,1997-09-09,1997-10-15,1997-09-19,NONE,TRUCK,refully final package,1997
3106,1359,74,2,49.0,61757.15,0.06,0.06,N,O,1997-02-27,1997-03-11,1997-03-12,NONE,TRUCK,ar frays. furiously pending d,1997
3107,1417,18,2,35.0,46144.35,0.05,0.06,N,O,1997-08-27,1997-11-19,1997-09-14,COLLECT COD,TRUCK,s use slyly. slyly regular theodolites,1997
3264,1404,5,6,43.0,56132.2,0.06,0.06,N,O,1997-01-17,1997-01-24,1997-02-01,TAKE BACK RETURN,TRUCK,eep carefully. fluffily f,1997
3364,1594,75,4,7.0,10469.13,0.1,0.05,N,O,1997-07-09,1997-08-01,1997-07-16,NONE,TRUCK,mpress ironic requests. fluffily ironic re,1997
3364,805,72,5,3.0,5117.4,0.01,0.0,N,O,1997-10-19,1997-08-15,1997-10-28,TAKE BACK RETURN,TRUCK, requests haggle quickly. ,1997
3429,585,16,2,15.0,22283.7,0.03,0.04,N,O,1997-02-04,1997-03-09,1997-03-01,TAKE BACK RETURN,TRUCK,lent dolphin,1997
3552,1965,66,1,18.0,33605.28,0.01,0.07,N,O,1997-08-11,1997-07-14,1997-08-15,DELIVER IN PERSON,TRUCK,"eposits nag carefully within the even, fina",1997
3552,1605,29,3,36.0,54237.6,0.04,0.08,N,O,1997-06-29,1997-06-24,1997-07-21,COLLECT COD,TRUCK,ronic foxes boost slyly bli,1997
3584,102,55,1,4.0,4008.4,0.04,0.08,N,O,1997-08-16,1997-10-31,1997-08-28,DELIVER IN PERSON,TRUCK,"ans. bold,",1997
3584,1595,36,2,23.0,34421.57,0.0,0.03,N,O,1997-09-10,1997-10-15,1997-09-30,COLLECT COD,TRUCK,o the fluffily unusual asymptotes,1997
3623,1163,36,2,33.0,35117.28,0.08,0.01,N,O,1997-03-17,1997-02-13,1997-04-02,TAKE BACK RETURN,TRUCK,ges use quietly. quick,1997
3623,1852,39,6,7.0,12276.95,0.01,0.02,N,O,1997-01-05,1997-03-26,1997-01-26,NONE,TRUCK,s deposits. furiously express grouches ,1997
3716,1069,70,3,42.0,40742.52,0.02,0.08,N,O,1997-12-03,1997-10-12,1997-12-15,NONE,TRUCK,ns? furiousl,1997
3716,1644,68,4,19.0,29367.16,0.05,0.08,N,O,1997-09-25,1997-10-18,1997-10-12,NONE,TRUCK,ial ideas against the carefull,1997
3719,215,97,1,35.0,39032.35,0.06,0.08,N,O,1997-06-11,1997-04-03,1997-06-15,TAKE BACK RETURN,TRUCK,ss the express deposits sleep careful,1997
3719,777,10,5,19.0,31877.63,0.06,0.08,N,O,1997-05-22,1997-03-20,1997-06-12,COLLECT COD,TRUCK, special platelets serve careful,1997
3815,1299,37,2,11.0,13203.19,0.02,0.04,N,O,1997-11-01,1997-11-05,1997-11-27,COLLECT COD,TRUCK, nag always ,1997
3878,874,75,2,13.0,23073.31,0.01,0.06,N,O,1997-06-08,1997-06-03,1997-06-25,TAKE BACK RETURN,TRUCK,"d, ironic pinto beans. quietly p",1997
3969,716,17,5,40.0,64668.4,0.09,0.0,N,O,1997-05-19,1997-08-02,1997-06-05,COLLECT COD,TRUCK, instructions along the quickly unusual pac,1997
4002,1108,45,1,35.0,35318.5,0.01,0.08,N,O,1997-05-16,1997-06-15,1997-06-02,DELIVER IN PERSON,TRUCK,efully regul,1997
4036,1261,73,4,20.0,23245.2,0.08,0.02,N,O,1997-08-11,1997-07-11,1997-09-03,NONE,TRUCK, haggle. even asymptotes was carefully. fu,1997
4066,926,61,2,19.0,34711.48,0.05,0.0,N,O,1997-05-13,1997-04-17,1997-06-08,NONE,TRUCK, accounts wake fur,1997
4066,1782,25,4,49.0,82505.22,0.01,0.01,N,O,1997-02-17,1997-03-24,1997-02-19,NONE,TRUCK,accounts. idle accounts are ruthlessly ,1997
4135,1194,95,2,32.0,35046.08,0.07,0.0,N,O,1997-03-14,1997-04-23,1997-04-12,TAKE BACK RETURN,TRUCK,y. blithely regular accounts bo,1997
4198,1423,2,2,46.0,60923.32,0.09,0.01,N,O,1997-08-17,1997-09-08,1997-09-11,COLLECT COD,TRUCK,s the pending g,1997
4225,488,76,1,25.0,34712.0,0.08,0.04,N,O,1997-07-10,1997-08-08,1997-07-31,TAKE BACK RETURN,TRUCK,ss theodolites cajole. slyly special req,1997
4326,1628,29,1,11.0,16825.82,0.01,0.01,N,O,1997-02-02,1996-12-10,1997-02-20,DELIVER IN PERSON,TRUCK,efully regu,1997
4355,166,93,2,4.0,4264.64,0.05,0.02,N,O,1997-02-25,1997-01-29,1997-03-17,TAKE BACK RETURN,TRUCK,slyly according to the regula,1997
4355,8,9,3,13.0,11804.0,0.07,0.05,N,O,1997-01-21,1996-12-22,1997-02-14,COLLECT COD,TRUCK,old theodolites sleep slyly. furiously ,1997
4421,1662,4,3,46.0,71928.36,0.0,0.06,N,O,1997-05-25,1997-05-21,1997-06-23,COLLECT COD,TRUCK, special dep,1997
4421,466,54,6,44.0,60124.24,0.09,0.06,N,O,1997-06-17,1997-06-20,1997-06-29,NONE,TRUCK,latelets. slyly ,1997
4450,955,90,3,45.0,83517.75,0.08,0.01,N,O,1997-09-01,1997-10-06,1997-09-19,NONE,TRUCK,ts grow carefully about the silent ,1997
4453,1018,54,4,26.0,23894.26,0.06,0.07,N,O,1997-05-07,1997-06-07,1997-05-22,NONE,TRUCK,", final deposits sle",1997
4484,948,51,1,4.0,7395.76,0.06,0.03,N,O,1997-04-09,1997-02-11,1997-04-12,TAKE BACK RETURN,TRUCK,ove the fur,1997
4544,1323,100,5,31.0,37953.92,0.09,0.03,N,O,1997-08-09,1997-09-29,1997-08-17,COLLECT COD,TRUCK,epitaphs sleep carefully. ,1997
4807,1220,95,1,9.0,10090.98,0.04,0.08,N,O,1997-04-23,1997-03-01,1997-05-15,TAKE BACK RETURN,TRUCK,s. ironically pending packages detect. q,1997
4832,639,40,4,6.0,9237.78,0.02,0.01,N,O,1997-12-08,1998-02-03,1997-12-10,COLLECT COD,TRUCK,counts cajole furiously hockey players. b,1997
