l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
39,944,79,6,40.00,73797.60,0.06,0.05,N,O,1996-12-08,1996-10-22,1997-01-01,COLLECT COD,ideas. furiously r
288,507,98,1,31.00,43632.50,0.00,0.03,N,O,1997-03-17,1997-04-28,1997-04-06,TAKE BACK RETURN,uctions. expres
320,1922,67,2,13.00,23710.96,0.03,0.00,N,O,1997-12-16,1997-12-26,1997-12-17,TAKE BACK RETURN,s. quickly express courts are slyly e
357,1859,3,2,36.00,63390.60,0.07,0.06,N,O,1996-12-28,1996-11-13,1997-01-24,DELIVER IN PERSON,thely regular deposits cajole.
422,1707,50,2,10.00,16087.00,0.02,0.03,N,O,1997-06-15,1997-08-04,1997-07-08,TAKE BACK RETURN,long the furiously final ideas
453,958,59,4,45.00,83652.75,0.10,0.01,N,O,1997-09-18,1997-06-29,1997-10-14,TAKE BACK RETURN,excuses across the carefully fina
583,1197,34,2,47.00,51614.93,0.10,0.06,N,O,1997-07-14,1997-05-12,1997-08-11,DELIVER IN PERSON,ic ideas. blithely ironic packages
583,1413,31,4,33.00,43375.53,0.10,0.01,N,O,1997-05-28,1997-04-25,1997-06-24,NONE,furiously bold dolphins wake
647,1122,95,2,5.00,5115.60,0.10,0.00,N,O,1997-09-25,1997-09-22,1997-10-25,TAKE BACK RETURN,ent foxes wake carefully about t
675,47,73,5,46.00,43563.84,0.09,0.05,N,O,1997-09-18,1997-10-14,1997-10-01,DELIVER IN PERSON,"the even, regular theodolites. pe"
704,1900,1,1,40.00,72076.00,0.05,0.05,N,O,1997-01-30,1997-01-10,1997-02-20,COLLECT COD,g blithely idea
803,988,89,2,21.00,39668.58,0.08,0.06,N,O,1997-08-25,1997-06-30,1997-09-10,TAKE BACK RETURN,dolphins boost furiously. silen
935,1341,80,3,36.00,44724.24,0.06,0.00,N,O,1997-11-05,1997-12-05,1997-11-25,TAKE BACK RETURN,ounts among the id
992,742,39,6,41.00,67352.34,0.10,0.01,N,O,1997-11-14,1998-02-04,1997-11-23,TAKE BACK RETURN,thely even requests. furiously final
1120,825,26,5,10.00,17258.20,0.07,0.08,N,O,1997-11-10,1998-02-01,1997-11-28,TAKE BACK RETURN,"s! regular, pending sh"
1155,44,20,5,49.00,46257.96,0.04,0.08,N,O,1997-12-07,1997-12-30,1997-12-08,NONE,ly. bold theodolites breac
1156,867,34,1,15.00,26517.90,0.07,0.06,N,O,1996-12-21,1997-01-03,1997-01-10,TAKE BACK RETURN,latelets haggle p
1251,34,35,1,37.00,34559.11,0.08,0.08,N,O,1997-12-21,1998-01-12,1997-12-26,COLLECT COD,waters? fu
1252,392,93,3,19.00,24555.41,0.07,0.02,N,O,1997-10-13,1997-10-23,1997-10-18,NONE,ggle fluffily among the carefully busy fox
1252,912,47,4,11.00,19942.01,0.10,0.01,N,O,1997-10-16,1997-09-22,1997-10-28,COLLECT COD,uriously slyly bold packages. blithel
1347,802,2,1,45.00,76626.00,0.02,0.05,N,O,1997-08-24,1997-09-03,1997-09-08,COLLECT COD,ong the accounts u
1347,642,43,5,9.00,13883.76,0.01,0.03,N,O,1997-08-28,1997-09-16,1997-09-26,DELIVER IN PERSON,usly along the final notornis.
1349,1177,14,2,45.00,48517.65,0.03,0.02,N,O,1997-12-24,1998-01-17,1997-12-28,NONE,the deposits solve carefully package
1475,1870,71,4,50.00,88593.50,0.03,0.05,N,O,1997-12-14,1997-12-13,1997-12-21,COLLECT COD,long the blithe
1477,1063,64,4,32.00,30849.92,0.05,0.08,N,O,1997-09-12,1997-10-26,1997-10-12,TAKE BACK RETURN,accounts. bold a
1511,972,75,1,29.00,54316.13,0.01,0.04,N,O,1997-03-17,1997-02-11,1997-03-27,DELIVER IN PERSON,requests cajole upon the r
1543,709,74,1,34.00,54729.80,0.02,0.08,N,O,1997-05-25,1997-03-30,1997-06-04,NONE,ly ironic deposits
1543,678,10,7,3.00,4736.01,0.00,0.02,N,O,1997-03-22,1997-04-06,1997-03-30,NONE,thely. even requests detect blithel
1574,478,66,1,41.00,56517.27,0.06,0.02,N,O,1997-03-08,1997-02-09,1997-04-01,COLLECT COD,ven accounts nag slyly
1574,1909,98,4,6.00,10865.40,0.03,0.05,N,O,1997-02-24,1997-02-03,1997-03-01,NONE,sh. carefully pending requests
1574,1358,35,7,14.00,17630.90,0.04,0.01,N,O,1996-12-30,1997-01-19,1997-01-20,NONE,g the even
1635,891,92,2,8.00,14335.12,0.04,0.05,N,O,1997-04-30,1997-04-21,1997-05-09,DELIVER IN PERSON,haggle slyly along the f
1636,184,37,5,22.00,23851.96,0.05,0.02,N,O,1997-07-22,1997-08-18,1997-08-03,COLLECT COD,carefully
1638,1545,26,6,46.00,66540.84,0.07,0.08,N,O,1997-08-20,1997-10-10,1997-09-09,COLLECT COD,l requests integrate blithely. f
