l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
39,944,79,6,40.0,73797.6,0.06,0.05,N,O,1996-12-08,1996-10-22,1997-01-01,COLLECT COD,AIR,ideas. furiously r,1997
288,507,98,1,31.0,43632.5,0.0,0.03,N,O,1997-03-17,1997-04-28,1997-04-06,TAKE BACK RETURN,AIR,uctions. expres,1997
320,1922,67,2,13.0,23710.96,0.03,0.0,N,O,1997-12-16,1997-12-26,1997-12-17,TAKE BACK RETURN,AIR,s. quickly express courts are slyly e,1997
357,1859,3,2,36.0,63390.6,0.07,0.06,N,O,1996-12-28,1996-11-13,1997-01-24,DELIVER IN PERSON,AIR,thely regular deposits cajole. ,1997
422,1707,50,2,10.0,16087.0,0.02,0.03,N,O,1997-06-15,1997-08-04,1997-07-08,TAKE BACK RETURN,AIR,long the furiously final ideas,1997
453,958,59,4,45.0,83652.75,0.1,0.01,N,O,1997-09-18,1997-06-29,1997-10-14,TAKE BACK RETURN,AIR,excuses across the carefully fina,1997
583,1197,34,2,47.0,51614.93,0.1,0.06,N,O,1997-07-14,1997-05-12,1997-08-11,DELIVER IN PERSON,AIR,ic ideas. blithely ironic packages ,1997
583,1413,31,4,33.0,43375.53,0.1,0.01,N,O,1997-05-28,1997-04-25,1997-06-24,NONE,AIR, furiously bold dolphins wake,1997
647,1122,95,2,5.0,5115.6,0.1,0.0,N,O,1997-09-25,1997-09-22,1997-10-25,TAKE BACK RETURN,AIR,ent foxes wake carefully about t,1997
675,47,73,5,46.0,43563.84,0.09,0.05,N,O,1997-09-18,1997-10-14,1997-10-01,DELIVER IN PERSON,AIR," the even, regular theodolites. pe",1997
704,1900,1,1,40.0,72076.0,0.05,0.05,N,O,1997-01-30,1997-01-10,1997-02-20,COLLECT COD,AIR,g blithely idea,1997
803,988,89,2,21.0,39668.58,0.08,0.06,N,O,1997-08-25,1997-06-30,1997-09-10,TAKE BACK RETURN,AIR, dolphins boost furiously. silen,1997
935,1341,80,3,36.0,44724.24,0.06,0.0,N,O,1997-11-05,1997-12-05,1997-11-25,TAKE BACK RETURN,AIR,ounts among the id,1997
992,742,39,6,41.0,67352.34,0.1,0.01,N,O,1997-11-14,1998-02-04,1997-11-23,TAKE BACK RETURN,AIR,thely even requests. furiously final ,1997
1120,825,26,5,10.0,17258.2,0.07,0.08,N,O,1997-11-10,1998-02-01,1997-11-28,TAKE BACK RETURN,AIR,"s! regular, pending sh",1997
1155,44,20,5,49.0,46257.96,0.04,0.08,N,O,1997-12-07,1997-12-30,1997-12-08,NONE,AIR,ly. bold theodolites breac,1997
1156,867,34,1,15.0,26517.9,0.07,0.06,N,O,1996-12-21,1997-01-03,1997-01-10,TAKE BACK RETURN,AIR,latelets haggle p,1997
1251,34,35,1,37.0,34559.11,0.08,0.08,N,O,1997-12-21,1998-01-12,1997-12-26,COLLECT COD,AIR, waters? fu,1997
1252,392,93,3,19.0,24555.41,0.07,0.02,N,O,1997-10-13,1997-10-23,1997-10-18,NONE,AIR,ggle fluffily among the carefully busy fox,1997
1252,912,47,4,11.0,19942.01,0.1,0.01,N,O,1997-10-16,1997-09-22,1997-10-28,COLLECT COD,AIR,uriously slyly bold packages. blithel,1997
1347,802,2,1,45.0,76626.0,0.02,0.05,N,O,1997-08-24,1997-09-03,1997-09-08,COLLECT COD,AIR,ong the accounts u,1997
1347,642,43,5,9.0,13883.76,0.01,0.03,N,O,1997-08-28,1997-09-16,1997-09-26,DELIVER IN PERSON,AIR,usly along the final notornis. ,1997
1349,1177,14,2,45.0,48517.65,0.03,0.02,N,O,1997-12-24,1998-01-17,1997-12-28,NONE,AIR, the deposits solve carefully package,1997
1475,1870,71,4,50.0,88593.5,0.03,0.05,N,O,1997-12-14,1997-12-13,1997-12-21,COLLECT COD,AIR,long the blithe,1997
1477,1063,64,4,32.0,30849.92,0.05,0.08,N,O,1997-09-12,1997-10-26,1997-10-12,TAKE BACK RETURN,AIR,accounts. bold a,1997
1511,972,75,1,29.0,54316.13,0.01,0.04,N,O,1997-03-17,1997-02-11,1997-03-27,DELIVER IN PERSON,AIR, requests cajole upon the r,1997
1543,709,74,1,34.0,54729.8,0.02,0.08,N,O,1997-05-25,1997-03-30,1997-06-04,NONE,AIR,ly ironic deposits,1997
1543,678,10,7,3.0,4736.01,0.0,0.02,N,O,1997-03-22,1997-04-06,1997-03-30,NONE,AIR,thely. even requests detect blithel,1997
1574,478,66,1,41.0,56517.27,0.06,0.02,N,O,1997-03-08,1997-02-09,1997-04-01,COLLECT COD,AIR,ven accounts nag slyly,1997
1574,1909,98,4,6.0,10865.4,0.03,0.05,N,O,1997-02-24,1997-02-03,1997-03-01,NONE,AIR,sh. carefully pending requests ,1997
1574,1358,35,7,14.0,17630.9,0.04,0.01,N,O,1996-12-30,1997-01-19,1997-01-20,NONE,AIR,g the even,1997
1635,891,92,2,8.0,14335.12,0.04,0.05,N,O,1997-04-30,1997-04-21,1997-05-09,DELIVER IN PERSON,AIR, haggle slyly along the f,1997
1636,184,37,5,22.0,23851.96,0.05,0.02,N,O,1997-07-22,1997-08-18,1997-08-03,COLLECT COD,AIR,carefully ,1997
