l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
68,828,62,5,27.0,46678.14,0.03,0.06,N,O,1998-06-19,1998-06-25,1998-06-29,DELIVER IN PERSON,SHIP,arefully special excuses. instru,1998
68,1393,32,7,41.0,53069.99,0.09,0.08,N,O,1998-06-24,1998-06-27,1998-07-06,NONE,SHIP,"ravely busy pinto beans. regular, r",1998
71,660,54,2,3.0,4681.98,0.09,0.07,N,O,1998-05-23,1998-04-03,1998-06-02,COLLECT COD,SHIP,o beans. final dependencies mol,1998
71,345,30,3,45.0,56040.3,0.0,0.07,N,O,1998-02-23,1998-03-20,1998-03-24,DELIVER IN PERSON,SHIP,y ironic packages wake carefully fu,1998
100,1160,97,2,22.0,23345.52,0.0,0.07,N,O,1998-06-24,1998-04-12,1998-06-29,DELIVER IN PERSON,SHIP,ar accounts boost slyly. brav,1998
100,462,92,3,46.0,62673.16,0.03,0.04,N,O,1998-05-02,1998-04-10,1998-05-22,TAKE BACK RETURN,SHIP,kly ironic requests,1998
192,1964,97,4,2.0,3731.92,0.06,0.02,N,O,1998-03-06,1998-02-03,1998-03-24,COLLECT COD,SHIP,fully bold packages x-ray furiously at ,1998
198,1020,21,5,33.0,30393.66,0.02,0.01,N,O,1998-03-22,1998-03-12,1998-04-14,DELIVER IN PERSON,SHIP,lyly express ide,1998
390,1066,2,1,10.0,9670.6,0.02,0.05,N,O,1998-05-26,1998-07-06,1998-06-23,TAKE BACK RETURN,SHIP,"es breach quickly. regular, even requests ",1998
390,1234,46,2,17.0,19298.91,0.09,0.06,N,O,1998-06-07,1998-06-14,1998-07-07,COLLECT COD,SHIP,nal pinto beans eat furiously careful,1998
390,1833,20,3,46.0,79802.18,0.07,0.04,N,O,1998-06-06,1998-05-20,1998-06-14,DELIVER IN PERSON,SHIP,cuses haggle quickly ironic requests,1998
390,1420,21,4,42.0,55499.64,0.01,0.05,N,O,1998-06-06,1998-06-22,1998-07-05,COLLECT COD,SHIP,counts wake slyly unusual acco,1998
390,1277,15,5,13.0,15317.51,0.02,0.06,N,O,1998-07-08,1998-05-10,1998-07-18,DELIVER IN PERSON,SHIP,ckly at the blithely pending requests. c,1998
390,1247,22,6,11.0,12630.64,0.09,0.06,N,O,1998-05-05,1998-05-15,1998-06-01,DELIVER IN PERSON,SHIP,boost up the foxes. quickly pending f,1998
451,766,63,4,28.0,46669.28,0.04,0.05,N,O,1998-06-16,1998-07-09,1998-06-17,DELIVER IN PERSON,SHIP,pending pinto beans. b,1998
708,1792,93,2,19.0,32182.01,0.06,0.0,N,O,1998-10-28,1998-09-23,1998-11-25,COLLECT COD,SHIP,egular theodolites cajole a,1998
708,1425,43,5,36.0,47751.12,0.08,0.01,N,O,1998-07-16,1998-09-04,1998-08-11,NONE,SHIP,s. express ideas along the s,1998
838,283,84,2,27.0,31948.56,0.05,0.07,N,O,1998-02-15,1998-04-03,1998-02-20,DELIVER IN PERSON,SHIP,old packages haggle slyly about the,1998
864,1297,35,1,34.0,40741.86,0.03,0.04,N,O,1997-12-16,1997-10-23,1998-01-12,TAKE BACK RETURN,SHIP,y regular dependencies boost q,1998
