l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
67,217,99,1,4.00,4468.84,0.09,0.04,N,O,1997-04-17,1997-01-31,1997-04-20,NONE,above the blithely f
102,890,57,1,37.00,66262.93,0.06,0.00,N,O,1997-07-24,1997-08-02,1997-08-07,TAKE BACK RETURN,e slyly regular foxes are alongside
102,1693,17,2,34.00,54219.46,0.03,0.08,N,O,1997-08-09,1997-07-28,1997-08-26,TAKE BACK RETURN,s nag. furiously expr
102,612,6,4,15.00,22689.15,0.07,0.07,N,O,1997-06-02,1997-07-13,1997-06-04,DELIVER IN PERSON,s believe. packages doubt carefully
289,1118,27,2,6.00,6114.66,0.06,0.05,N,O,1997-02-18,1997-05-08,1997-03-19,DELIVER IN PERSON,ven requests! final deposits alon
387,1367,44,1,1.00,1268.36,0.08,0.03,N,O,1997-05-06,1997-04-23,1997-05-10,NONE,express requests. ironically fina
422,1519,60,1,25.00,35512.75,0.10,0.07,N,O,1997-07-01,1997-08-17,1997-07-09,DELIVER IN PERSON,"ound the silent, even pa"
453,132,85,3,38.00,39220.94,0.10,0.01,N,O,1997-08-10,1997-07-24,1997-09-07,NONE,of the pinto beans boos
455,484,43,3,45.00,62301.60,0.04,0.06,N,O,1996-12-20,1997-01-31,1997-01-07,TAKE BACK RETURN,xcuses haggle? furiously even gifts acr
484,1649,50,4,22.00,34114.08,0.07,0.03,N,O,1997-04-29,1997-03-26,1997-05-17,TAKE BACK RETURN,thely regular requests. requests according
517,410,40,3,9.00,11793.69,0.04,0.00,N,O,1997-05-03,1997-06-16,1997-05-24,COLLECT COD,haggle carefully carefully ironic instru
578,1556,57,1,40.00,58302.00,0.02,0.08,N,O,1997-02-10,1997-03-18,1997-02-11,NONE,", pending deposi"
582,1404,83,3,42.00,54826.80,0.07,0.00,N,O,1997-11-15,1997-12-21,1997-12-03,COLLECT COD,"packages. even, even reque"
582,1678,79,4,36.00,56868.12,0.06,0.01,N,O,1997-12-09,1997-11-27,1997-12-26,TAKE BACK RETURN,sly regular packages.
705,1884,28,1,46.00,82150.48,0.05,0.06,N,O,1997-04-18,1997-05-06,1997-05-05,DELIVER IN PERSON,g to the carefully silent
803,535,96,1,8.00,11484.24,0.07,0.01,N,O,1997-08-04,1997-06-19,1997-08-12,NONE,er the final
997,475,76,2,17.00,23382.99,0.03,0.00,N,O,1997-07-28,1997-07-26,1997-08-20,DELIVER IN PERSON,e furiously above the c
1026,373,58,1,36.00,45841.32,0.10,0.02,N,O,1997-06-14,1997-07-20,1997-06-23,NONE,ly. regula
1093,870,37,1,7.00,12396.09,0.04,0.02,N,O,1997-11-24,1997-09-23,1997-11-25,TAKE BACK RETURN,quickly ironic packages are furiousl
1121,1678,2,1,42.00,66346.14,0.04,0.05,N,O,1997-03-05,1997-03-18,1997-03-14,DELIVER IN PERSON,ding to the busily final packages
1122,1818,5,2,29.00,49874.49,0.05,0.04,N,O,1997-05-07,1997-04-07,1997-05-15,COLLECT COD,s. quickly eve
1122,1504,5,5,15.00,21082.50,0.05,0.03,N,O,1997-04-15,1997-03-15,1997-05-07,COLLECT COD,refully stealthy pinto
1155,694,95,1,4.00,6378.76,0.09,0.05,N,O,1997-10-19,1997-12-09,1997-11-02,DELIVER IN PERSON,excuses among the bold ideas boost fluffil
1220,1598,79,2,36.00,53985.24,0.01,0.02,N,O,1996-12-10,1996-11-14,1997-01-07,COLLECT COD,ing packages breach furiously a
1252,788,89,5,26.00,43908.28,0.05,0.05,N,O,1997-08-05,1997-10-24,1997-08-07,DELIVER IN PERSON,among the courts are slyly expres
1347,1849,50,3,23.00,40269.32,0.03,0.04,N,O,1997-07-31,1997-08-25,1997-08-21,COLLECT COD,fluffily regular ideas. furiously
1347,503,94,7,10.00,14035.00,0.02,0.07,N,O,1997-07-04,1997-07-23,1997-07-05,DELIVER IN PERSON,gainst the s
1410,1203,78,1,15.00,16563.00,0.06,0.05,N,O,1997-05-25,1997-07-08,1997-06-15,NONE,yly across the carefull
